id,name,age,occupation,gender,annual_income,region,card_grade,persona,personal_score,saving_goal_text,target_max_spending_amount
1,김배달,32,프리랜서,남,3500,서울,Gold,배달중독,0,이번 달 배달비를 10만원 줄이고 퇴근 후 습관적으로 배달을 시키는 소비를 줄이고 싶어요.
2,이페이,28,IT개발자,여,5500,경기,Platinum,간편결제중독,0,간편결제로 무심코 쓰는 소비를 줄이고 한 달 카드 지출을 20만원 줄이고 싶어요.
3,박짠돌,45,공무원,남,5000,충북,Silver,짠돌이,0,이미 절약은 잘하는 편이지만 생활비를 더 체계적으로 관리해서 불필요한 지출을 월 5만원 줄이고 싶어요.
4,최구독,25,취준생,여,1200,서울,Silver,ott 구독 중독자,0,사용하지 않는 OTT 구독을 정리해서 매달 고정비를 3만원 이상 줄이고 싶어요.
5,정충동,35,디자이너,여,4200,경기,Gold,충동소비,0,옷이나 소품을 충동적으로 사는 소비를 줄이고 한 달 쇼핑비를 15만원 줄이고 싶어요.
6,강대학,21,대학생,남,800,인천,Silver,대학생,0,용돈 안에서 생활하면서 카페와 간식비를 줄여 한 달에 5만원을 저축하고 싶어요.
7,유취준,26,취준생,남,1000,대구,Silver,취준생,0,취업 준비 기간 동안 식비와 카페 지출을 줄이고 한 달 생활비를 10만원 아끼고 싶어요.
8,한명품,38,전문직,여,12000,서울 강남,The Black,명품중독자,0,명품과 고가 쇼핑을 줄이고 한 달 쇼핑 지출을 100만원 이하로 관리하고 싶어요.
9,오부모,36,사무직,여,4500,경기,Gold,3세 아이를 키우는 학부모,0,아이 관련 지출은 유지하되 불필요한 장보기와 배달 소비를 줄여 한 달에 15만원 절약하고 싶어요.
10,조여행,33,마케터,남,4800,부산,Platinum,해외여행 중독자,0,해외여행 준비를 위해 평소 외식과 여행 관련 충동 결제를 줄이고 3개월 동안 100만원을 모으고 싶어요.
11,임강사,40,학원강사,여,7000,서울,Platinum,강사,0,수업 준비와 이동 중 생기는 카페·편의점 소비를 줄여 한 달에 10만원 절약하고 싶어요.
12,권직장,42,연구원,남,8500,대전,Gold,워커홀릭 직장인,0,일 때문에 늦게 먹는 외식과 야식 소비를 줄이고 건강한 식비 관리로 한 달 15만원 아끼고 싶어요.
13,신입사,27,대기업 신입,남,5200,서울,Gold,신입사원,0,신입사원 생활에 맞춰 회식 후 택시비와 카페 소비를 줄이고 한 달에 20만원 저축하고 싶어요.
14,아알바,22,아르바이트,여,1800,광주,Silver,알바생,0,아르바이트 수입 안에서 쇼핑과 간식비를 줄이고 한 달에 7만원을 모으고 싶어요.
15,고독신,45,대기업 과장,남,9500,서울 마포,VIP,대기업 다니는 40대 독신,0,혼자 사는 생활에서 외식·술자리·취미 소비를 줄이고 한 달에 30만원 이상 저축하고 싶어요.
16,강로또,30,무직,남,500,전남,Silver,로또 당첨을 꿈꾸는 백수,0,수입이 적은 상황이라 불필요한 편의점·복권 소비를 줄이고 한 달 생활비를 5만원 아끼고 싶어요.

