id,name,age,occupation,gender,annual_income,region,persona,personal_score,saving_goal_text,target_max_spending_amount
1,조한별,20,119 구조대원,Female,27200000,서울 서울-동대문구,"조한별 씨는 현장의 긴박함을 다루는 냉철한 119 구조대원이면서, 동시에 성수동 팝업 스토어와 숏폼 콘텐츠를 즐기는 트렌디한 20세 Z세대 여성입니다. 주요 강점은 심폐소생술 및 자동심장충격기 운용, 응급 환자 분류 및 현장 처치이며, 일상 관심사는 퍼스널 컬러 기반 메이크업, 성수동 팝업 스토어 투어, 범죄 심리 팟캐스트 청취입니다. 가족·주거 형태는 비친족 동거, 아파트이며, 현장에서 다양한 케이스를 경험하며 특수 구조 분야의 숙련된 전문가로 인정받고 싶어 하며, 동료들이 위급 상황에서 가장 먼저 찾는 믿음직한 선임 구조대원이 되려 합니다.",0,"비상금과 커리어 전환 자금 마련: 서울 서울-동대문구 거주, 119 구조대원 생활 패턴을 기준으로 1인 생활비와 자기계발비 통제, 월 고정 주거비 관리, 취미/관심사(퍼스널 컬러 기반 메이크업) 지출을 조절하고 강점(심폐소생술 및 자동심장충격기 운용)을 활용해 월별 저축 루틴을 유지하기",1560000
2,장규범,50,대형 화물차 운전원,Male,41300000,전북 전북-부안군,"장규범 씨는 부안의 정서를 품고 전국의 길을 꿰고 있는 숙련된 화물차 운전원으로, 가족과 지역 사회에 대한 애착이 강한 50대 가장입니다. 주요 강점은 대형 화물차 장거리 운행, 위험물 운송 안전 관리이며, 일상 관심사는 지역 배드민턴 동호회 활동, 동네 사우나 이용, 변산반도 해안가 풍경 감상입니다. 가족·주거 형태는 배우자·자녀와 거주, 단독주택이며, 소유한 단독주택의 마당을 조금씩 가꾸며, 운전 경력을 살려 지역 내 운송 네트워크를 연결하는 작은 소일거리를 찾는 것을 계획하고 있습니다.",0,"은퇴 전 현금흐름 정리와 건강 지출 대비: 전북 전북-부안군 거주, 대형 화물차 운전원 생활 패턴을 기준으로 자녀 관련 지출 계획화, 주거비 안정화, 취미/관심사(지역 배드민턴 동호회 활동) 지출을 조절하고 강점(대형 화물차 장거리 운행)을 활용해 월별 저축 루틴을 유지하기",2030000
3,이정익,57,그 외 일반 영업원,Male,51800000,경기 경기-남양주시,"이정익 씨는 남양주 다산동의 변화를 함께한 베테랑 유통 영업직이자, 가족의 안녕과 소소한 휴식을 최우선으로 여기는 사교적인 중년 남성입니다. 주요 강점은 상대 성향 맞춤형 설득 및 협상, 도매 유통망 최적화 경로 분석이며, 일상 관심사는 가평 및 양평 인근 숲속 캠핑, 남양주 지역 단골 사우나 방문, 프로야구 TV 중계 시청입니다. 가족·주거 형태는 배우자·자녀와 거주, 아파트이며, 사업의 무리한 확장보다는 기존의 단골 거래처를 내실 있게 관리하며 업무 강도를 서서히 낮추는 완만한 은퇴 설계를 준비하고 있습니다.",0,"은퇴 전 현금흐름 정리와 건강 지출 대비: 경기 경기-남양주시 거주, 그 외 일반 영업원 생활 패턴을 기준으로 자녀 관련 지출 계획화, 월 고정 주거비 관리, 취미/관심사(가평 및 양평 인근 숲속 캠핑) 지출을 조절하고 강점(상대 성향 맞춤형 설득 및 협상)을 활용해 월별 저축 루틴을 유지하기",2550000
4,강상현,56,해병대 장교,Male,57400000,서울 서울-광진구,"강상현 씨는 강인한 해병대 장교의 책임감과 광진구 주민으로서의 유연함을 동시에 지닌, 가족과 소소한 일상을 사랑하는 50대 가장입니다. 주요 강점은 실전 중심의 부대 운영 및 병력 배치, 위기 상황에서의 신속한 의사결정이며, 일상 관심사는 아차산 산책로 걷기, 동네 베이커리 투어, 지인들과의 가벼운 반주와 담소입니다. 가족·주거 형태는 배우자·자녀와 거주, 다세대주택이며, 남은 군 생활을 명예롭게 마무리하는 것에 집중하며, 전역 후에는 그동안 쌓아온 관리 경험을 살려 지역 사회의 안전 관리나 행정 관련 자문 역할을 맡아 소소하게 활동하고 싶어 합니다.",0,"은퇴 전 현금흐름 정리와 건강 지출 대비: 서울 서울-광진구 거주, 해병대 장교 생활 패턴을 기준으로 자녀 관련 지출 계획화, 월 고정 주거비 관리, 취미/관심사(아차산 산책로 걷기) 지출을 조절하고 강점(실전 중심의 부대 운영 및 병력 배치)을 활용해 월별 저축 루틴을 유지하기",2820000
5,오명순,47,요양 보호사,Female,33400000,광주 광주-북구,"오명순 씨는 광주 북구에서 성실하게 요양보호사로 일하며, 가족의 안식처와 자신의 건강을 위해 묵묵히 하루를 일궈가는 따뜻하고 현실적인 여성입니다. 주요 강점은 치매 어르신 행동 심리 케어, 거동 불편자 이동 보조이며, 일상 관심사는 임영웅 노래 감상, 무등산 둘레길 산책, 동네 친구들과의 수다입니다. 가족·주거 형태는 배우자·자녀와 거주, 아파트이며, 현재의 일터에서 동료들에게 신뢰받는 베테랑 요양보호사로 남고 싶어 하며, 차근차근 저축해 전세금을 올려 지금보다 더 안정적인 주거 환경을 마련하는 것에 집중하고 있습니다.",0,"가족 생활비와 노후 준비의 균형 확보: 광주 광주-북구 거주, 요양 보호사 생활 패턴을 기준으로 자녀 관련 지출 계획화, 월 고정 주거비 관리, 취미/관심사(임영웅 노래 감상) 지출을 조절하고 강점(치매 어르신 행동 심리 케어)을 활용해 월별 저축 루틴을 유지하기",1730000
6,이하윤,37,경리 사무원,Female,45900000,서울 서울-강북구,"이하윤 씨는 서울 강북구 수유동에서 부모님과 함께 살며 꼼꼼한 업무 처리 능력으로 신뢰받는 37세 경리 사무원입니다. 주요 강점은 엑셀 함수를 활용한 효율적인 장부 정리, 세금계산서 및 증빙 서류의 정밀한 검토이며, 일상 관심사는 넷플릭스로 즐기는 밀도 높은 범죄 스릴러 드라마 시청, 친한 친구들과 함께 떠나는 정기적인 온천 및 스파 여행, 미술관에서 도슨트 설명을 들으며 천천히 작품 관람하기입니다. 가족·주거 형태는 부모와 동거, 다세대주택이며, 갑작스러운 승진이나 화려한 성공보다는, 지금의 직장에서 누구도 대체할 수 없는 실무의 핵심 인력으로 인정받으며 정년까지 평온하게 근무하는 안정적인 삶을 지향합니다.",0,"주거 안정과 중기 목돈 마련: 서울 서울-강북구 거주, 경리 사무원 생활 패턴을 기준으로 부모님 부양 비용 관리, 월 고정 주거비 관리, 취미/관심사(넷플릭스로 즐기는 밀도 높은 범죄 스릴러 드라마 시청) 지출을 조절하고 강점(엑셀 함수를 활용한 효율적인 장부 정리)을 활용해 월별 저축 루틴을 유지하기",2520000
7,김지화,39,"전직 자동차 부품 기술 영업원, 현재 구직중",Female,0,강원 강원-강릉시,"김지화 씨는 철저한 계획성과 사회적 활발함 뒤에 깊은 불안을 숨긴 채, 강릉에서 새로운 도약을 꿈꾸는 전직 기술 영업 전문가입니다. 주요 강점은 자동차 부품 도면 해석 및 기술 제안, B2B 납품 계약서 법적 리스크 검토이며, 일상 관심사는 안목해변 카페 거리에서 음악 감상, 넷플릭스 최신 스릴러 시리즈 정주행, 동네 사우나 온탕에서 멍 때리기입니다. 가족·주거 형태는 배우자·자녀와 거주, 아파트이며, 전 직장에서 겪은 극심한 긴장감과 스트레스를 뒤로하고, 강릉 지역 내 기업에서 자신의 전문성을 발휘하며 일과 가정의 균형을 찾고자 합니다.",0,"주거 안정과 중기 목돈 마련: 강원 강원-강릉시 거주, 전직 자동차 부품 기술 영업원, 현재 구직중 생활 패턴을 기준으로 자녀 관련 지출 계획화, 월 고정 주거비 관리, 취미/관심사(안목해변 카페 거리에서 음악 감상) 지출을 조절하고 강점(자동차 부품 도면 해석 및 기술 제안)을 활용해 월별 저축 루틴을 유지하기",500000
8,박경미,58,하역 및 적재 관련 단순 종사원,Female,21600000,충청남 충청남-아산시,"박경미 씨는 아산 물류 현장의 베테랑 하역원으로서 삶의 굴곡을 강단 있게 이겨내고, 트로트와 퍼즐로 일상의 여유를 찾는 실속 있는 중년 여성입니다. 주요 강점은 물류 적재 효율 최적화, 현장 인력 갈등 중재이며, 일상 관심사는 1000피스 풍경 퍼즐 맞추기, 온양온천 인근 맛집 탐방, 트로트 노래방입니다. 가족·주거 형태는 배우자와 거주, 아파트이며, 지금처럼 안정적인 소득을 유지하며 건강하게 현장을 지키는 것에 만족합니다.",0,"은퇴 전 현금흐름 정리와 건강 지출 대비: 충청남 충청남-아산시 거주, 하역 및 적재 관련 단순 종사원 생활 패턴을 기준으로 가족 공동 지출 관리, 월 고정 주거비 관리, 취미/관심사(1000피스 풍경 퍼즐 맞추기) 지출을 조절하고 강점(물류 적재 효율 최적화)을 활용해 월별 저축 루틴을 유지하기",1010000
9,문준승,37,시설 경비원,Male,36100000,서울 서울-노원구,"문준승 씨는 넉살 좋은 성격으로 복합문화공간을 지키는 경비원이자, 내 집 마련의 꿈을 품고 가족을 위해 헌신하며 소소한 예술적 동경을 간직한 30대 가장입니다. 주요 강점은 다양한 성향의 이용자 민원 조율, 시설 안전 점검 및 취약 구역 관리이며, 일상 관심사는 상계동 배드민턴 동호회 활동, 동네 유명 빵집 소금빵 투어, 코인 노래방에서 발라드 부르기입니다. 가족·주거 형태는 배우자·자녀와 거주, 아파트이며, 가끔은 자신이 지키는 공간의 예술적 분위기에 동경을 느끼며 소소한 취미 활동을 전문적으로 배워보고 싶다는 생각도 합니다.",0,"주거 안정과 중기 목돈 마련: 서울 서울-노원구 거주, 시설 경비원 생활 패턴을 기준으로 자녀 관련 지출 계획화, 월 고정 주거비 관리, 취미/관심사(상계동 배드민턴 동호회 활동) 지출을 조절하고 강점(다양한 성향의 이용자 민원 조율)을 활용해 월별 저축 루틴을 유지하기",1960000
10,국석규,39,단말기 및 통신 서비스 판매원,Male,48400000,서울 서울-광진구,"국석규 씨는 구의동의 정취가 묻어나는 단독주택에서 살며, 신뢰받는 통신 판매원으로 일하며 소박한 일상의 균형을 지켜가는 39세 남성입니다. 주요 강점은 통신 요금제 최적화 설계, 최신 스마트 기기 기능 가이드이며, 일상 관심사는 한강변 조깅, 정유정 소설 읽기, 지역 벚꽃 축제 방문입니다. 가족·주거 형태는 혼자 거주, 단독주택이며, 무리한 사업 확장보다는 현재의 단골 고객층을 탄탄하게 유지하며 심리적, 경제적 안정을 다지는 것에 집중합니다.",0,"주거 안정과 중기 목돈 마련: 서울 서울-광진구 거주, 단말기 및 통신 서비스 판매원 생활 패턴을 기준으로 1인 생활비와 자기계발비 통제, 주거비 안정화, 취미/관심사(한강변 조깅) 지출을 조절하고 강점(통신 요금제 최적화 설계)을 활용해 월별 저축 루틴을 유지하기",2620000
